GEO,Year_2002,Year_2006,Year_2010,Year_2014
Austria,2,124,2,288,2,494
Belgium,2,438,2,749,2,956
Bulgaria,143,193,332,420
Switzerland,4,112,5,103
Cyprus,1.815,1,980,1.798
Czech Republic,472,714,922,909
Germany (until 1990 former territory of the FRG),2.457,2.520,2.620
Denmark,3.062,3.642,3.690
Estonia,599,777,999
Greece,1.563,1.744,
Spain,1.475,1.597,1.775,1.829
European Union (28 countries),2.010,2.097,2.293
Finland,2.466,2.848,3.094
France,2.342,2.400,2.603
Croatia,980,
Hungary,451,608,729,774
Ireland,2.549,3.142,3.274,3.340
Iceland,2.891,1.996,2.535
Italy,2.030,2.193,2.337
Lithuania,299,441,525,640
Luxembourg,3.112,3.501,3.913
Latvia,431,573,692
Former Yugoslav Republic of Macedonia,475,490
Malta,1.206,1.375,1.566
Netherlands,2.035,1.917,2.281,2.398
Norway,3.546,3.987,4.403
Poland,573,648,793,948
Portugal,1.135,1.231,1.209
Romania,195,332,444,512
Sweden,2.449,2.510,2.809,3.286
Slovenia,1.010,1.198,1.470,1.571
Slovakia,337,519,758,908
Turkey,609,753,752
United Kingdom,2.681,2.893,2.504,2.795
